 Tutorial/Deselects everything., 教程/取消选择所有内容。
 Tutorial/Disable console command menu button, 教程/禁用控制台命令菜单按钮。
 Tutorial/Disable console HUD fixed element, 教程/禁用控制台HUD固定元素。
 Tutorial/Disable named object's UI user ability button, 教程/禁用命名对象的UI用户能力按钮。
 Tutorial/Disable PC HUD fixed element, 教程/禁用PC HUD固定元素。
 Tutorial/Disable planning mode, 教程/禁用规划模式。
 Tutorial/Disable UI build button, 教程/禁用UI构建按钮。
 Tutorial/Disable UI player power button, 教程/禁用UI玩家能量按钮。
 Tutorial/Display tutorial text, 教程/显示教程文本。
 Tutorial/Enable planning mode, 教程/启用规划模式。
 Tutorial/Flash console command menu button, 教程/闪烁控制台命令菜单按钮。
 Tutorial/Flash console HUD fixed element, 教程/闪烁控制台HUD固定元素。
 Tutorial/Flash named object's UI user ability button, 教程/闪烁命名对象的UI用户能力按钮。
 Tutorial/Flash PC HUD fixed element, 教程/闪烁PC HUD固定元素。
 Tutorial/Flash UI build button, 教程/闪烁UI构建按钮。
 Tutorial/Hide tutorial text, 教程/隐藏教程文本。
 Tutorial/Lock or unlock camera height and angle (allow scrolling)., 教程/锁定或解锁相机高度和角度（允许滚动）。
 Tutorial/Lock or unlock camera reset., 教程/锁定或解锁相机重置。
 Tutorial/Lock or unlock camera rotation., 教程/锁定或解锁相机旋转。
 Tutorial/Lock or unlock camera scroll., 教程/锁定或解锁相机滚动。
 Tutorial/Lock or unlock camera zoom., 教程/锁定或解锁相机缩放。
 Tutorial/Lock or unlock camera., 教程/锁定或解锁相机。
 Tutorial/Player selects object., 教程/玩家选择对象。
 Tutorial/Reset camera tutorial state., 教程/重置相机教程状态。
 Tutorial/Show windowed text caption., 教程/显示窗口化文本标题。
 Tutorial/Switch to production queue tab, 教程/切换到生产队列选项卡。
 Win & Loss/ Show Victory Screen, 胜利与失败/显示胜利界面。
 Win & Loss/Announce defeat., 胜利与失败/宣布失败。
 Win & Loss/Announce local defeat., 胜利与失败/宣布本地失败。
 Win & Loss/Announce quick win, 胜利与失败/宣布快速胜利。
 Win & Loss/Announce victory., 胜利与失败/宣布胜利。
 ThreeSixty/Override player command points., 360度/覆盖玩家命令点数。
 ThreeSixty/Set command points available to player to counter., 360度/设置玩家可用于反制的命令点数。
 ThreeSixty/Set command points required to build team to counter., 360度/设置建立反制队伍所需的命令点数。
 ThreeSixty/Set command points total of player to counter., 360度/设置玩家反制总命令点数。
 ThreeSixty/Set command points used by player to counter., 360度/设置玩家用于反制的命令点数。
 Team/Allegiance/Override Team's relationship to a Player., 队伍/忠诚度/覆盖队伍与玩家的关系。
 Team/Allegiance/Override Team's relationship to a Team., 队伍/忠诚度/覆盖队伍与队伍的关系。
 Team/Allegiance/Remove all overrides to Team's relationship to Teams and Players., 队伍/忠诚度/移除队伍与队伍和玩家之间所有关系的覆盖。
 Team/Allegiance/Remove an override to Team's relationship to a Team., 队伍/忠诚度/移除队伍与特定队伍之间关系的覆盖。
 Team/Allegiance/Transfer control of Team to Player., 队伍/忠诚度/将队伍控制权转移给玩家。
 Team/Attack/Attack move a team to a named object., 队伍/进攻/将队伍攻击移动到指定的物体。
 Team/Attack/Hunt (choose enemy target, move towards it, and attack when within range)., 队伍/进攻/狩猎（选择敌方目标，朝它移动，当在攻击范围内时攻击）。
 Team/Attack/Move team towards the nearest object of a specific type owned by a player, 队伍/进攻/将队伍朝着由玩家拥有的特定类型的最近物体移动。
 Team/Attack/Move team towards the nearest object of a specific type, 队伍/进攻/将队伍朝着特定类型的最近物体移动。
 Team/Attack/Set team to attack another team., 队伍/进攻/设置队伍攻击另一个队伍。
 Team/Attack/Set team to attack-move along a waypoint path., 队伍/进攻/设置队伍沿着航路点路径进行攻击移动。
 Team/Attack/Set team to attack-move to a location., 队伍/进攻/设置队伍攻击移动到一个位置。
 Team/Attack/Set team to capture a named object., 队伍/进攻/设置队伍捕获指定的物体。
 Team/Attack/Team attacks a named object., 队伍/进攻/队伍攻击指定的物体。
 Team/Capture/Capture unowned faction unit -- nearest., 队伍/捕获/捕获未拥有的派系单位--最近的。
 Team/CommandButton/Use command ability -- all -- nearest enemy building kindof., 队伍/指令按钮/使用指令能力--所有--最近的敌方建筑种类。
 Team/CommandButton/Use command ability -- all -- nearest enemy building., 队伍/指令按钮/使用指令能力--所有--最近的敌方建筑。
 Team/CommandButton/Use command ability -- all -- nearest enemy garrisoned building., 队伍/指令按钮/使用指令能力--所有--最近的敌方占领建筑。
 Team/CommandButton/Use command ability -- all -- nearest enemy object with kind of., 队伍/指令按钮/使用指令能力--所有--最近的敌方对象与种类。
 Team/CommandButton/Use command ability -- all -- nearest enemy unit, 队伍/指令按钮/使用指令能力--所有--最近的敌方单位。
 Team/CommandButton/Use command ability -- all -- nearest object type., 队伍/指令按钮/使用指令能力--所有--最近的对象类型。
 Team/CommandButton/Use command ability -- partial -- self., 队伍/指令按钮/部分使用指令能力--自己。
 Team/CommandButton/Use commandbutton ability at a waypoint., 队伍/指令按钮/在路标上使用指令按钮能力。
 Team/CommandButton/Use commandbutton ability on a named object., 队伍/指令按钮/在命名对象上使用指令按钮能力。
 Team/CommandButton/Use commandbutton ability., 队伍/指令按钮/使用指令按钮能力。
 Team/Damage or Remove/Damage the members of Team., 队伍/伤害或删除/伤害队伍成员。
 Team/Damage or Remove/Delete Team, but ignore dead guys., 队伍/伤害或删除/删除队伍，但忽略已死亡的成员。
 Team/Damage or Remove/Delete Team., 队伍/伤害或删除/删除队伍。
 Team/Damage or Remove/Kill an entire team., 队伍/伤害或删除/消灭整个队伍。
 Team/Damage or Remove/Set the health of the team members (in percentage)., 队伍/伤害或删除/设置队伍成员的健康状态（以百分比计算）。
 Team/Experience/Gives the team experience points., 队伍/经验/给予队伍经验点数。
 Team/Experience/Sets the team's experience points., 队伍/经验/设置队伍的经验点数。
 Team/Experience/Team levels up with visual FX., 队伍/经验/队伍升级，带有视觉效果。
 Team/Flash/Flash Team for a specified amount of time., 队伍/闪烁/闪烁队伍指定时间。
 Team/Flash/Flash Team white for a specified amount of time., 队伍/闪烁/闪烁队伍白色指定时间。
 Team/Garrison/Exit all objects a team is in., 队伍/驻扎/退出队伍所在的所有对象。
 Team/Garrison/Garrison a named object instantly with a team., 队伍/驻扎/使用队伍即时驻扎一个命名对象。
 Team/Garrison/Garrison a named object with Team., 队伍/驻扎/使用队伍驻扎一个命名对象。
 Team/Garrison/Garrison a nearby structure with Team., 队伍/驻扎/使用队伍驻扎一个附近的结构。
 Team/Garrison/Garrison a team instantly with a team., 队伍/驻扎/使用队伍即时驻扎一个队伍。
 Team/Guard/Guard a supply source., 队伍/警戒/警戒一个补给源。
 Team/Guard/Team guard a named object., 队伍/警戒/队伍警戒一个命名对象。
 Team/Guard/Team guard a specific team., 队伍/警戒/队伍警戒一个特定队伍。
